Cod. T.Cultivo,Dosis Madurante,TCHM,TAHM,Sac.Caña Precosecha,%Sac.Caña,%Sac.Muestreadora,%ATR,%AR Jugo,Lluvias (2 Meses Ant.)
1.0,0.0,11.003051,1.179297,16.024,12.208,13.157,13.566,0.61,0.0
1.0,0.0,7.147951,0.735408,15.3033,11.828,12.307,13.053,0.475,342.0
1.0,0.0,11.134881,1.14487,0.0,11.8163,12.4592,13.098,0.6108,337.0
1.0,1.2,9.916759,1.000182,15.343,11.647,12.006,13.056,0.66,192.0
1.0,1.2,13.39195,1.322881,13.4961,11.4036,11.5588,12.6233,0.5946,192.0
1.0,0.0,9.167195,0.905637,17.6323,11.4033,12.2588,12.7115,0.6457,0.0
1.0,0.0,12.951152,1.205073,0.0,10.789,11.908,11.796,0.3,0.0
1.0,0.0,9.640491,0.826617,0.0,10.105,10.912,11.831,1.035,192.0
1.0,0.0,10.708948,0.832283,0.0,9.341,9.781,10.723,0.7,192.0
1.0,1.0,10.511127,1.208688,17.3572,13.0534,13.3602,14.2173,0.4221,265.0
1.0,0.0,8.605731,0.943818,17.1661,12.5495,13.2419,13.8491,0.5769,324.0
1.0,1.0,12.216376,1.306525,17.7704,12.2738,12.546,13.5422,0.6099,265.0
1.0,1.0,12.226763,1.298405,18.0479,12.2331,11.8657,13.4569,0.5645,265.0
1.0,0.0,11.783187,1.239983,15.8748,12.1044,12.3871,13.3314,0.5547,0.0
1.0,0.0,10.011963,1.034694,15.659,11.9386,12.022,13.2072,0.55,0.0
1.0,1.0,10.753708,1.102358,17.7839,11.8118,12.1018,13.0941,0.6132,265.0
1.0,0.0,10.829787,1.032093,16.9982,11.1677,11.6423,12.6038,0.7598,0.0
1.0,0.0,9.534181,0.873106,0.0,10.736,11.424,12.0418,0.58,337.0
1.0,0.0,11.211472,1.007689,15.2983,10.6479,11.0259,12.4311,1.1435,111.0
1.0,0.0,14.290881,1.165983,17.4519,9.6989,10.4509,11.1922,0.8738,178.0
1.0,0.0,14.947934,1.0878205,0.0,12.32020206531247,13.0494,13.7531,0.7,153.0
1.0,0.0,10.696311,1.148888,15.9796,12.3591,13.2121,13.5898,0.5016,97.0
1.0,1.2,12.245393,1.296318,7.802876075066487,12.073,12.8143,13.2442,0.4452,197.0
1.0,0.0,10.861425,1.127133,18.194,11.8719,12.5213,13.0585,0.4524,97.0
1.0,0.0,13.583473,1.387477,0.0,11.8552,12.4397,13.1309,0.5598,21.0
1.0,0.0,13.337662,1.181053,14.1926,10.4164,11.1041,11.9304,0.9038,0.0
1.0,0.0,11.566225,1.237992,0.0,12.3335,13.019,13.6074,0.545,21.0
1.0,0.0,8.920416,0.920202,17.0536,11.9586,12.0536,13.364,0.6918,274.0
1.0,1.0,11.179798,1.135601,18.2965,11.7233,12.2472,13.1162,0.707,153.0
1.0,0.0,8.701043,0.852053,15.1003,11.4306,11.9001,12.7144,0.5771,0.0
1.0,0.0,12.730095,1.238712,17.6653,11.3822,12.1852,12.747,0.6717,0.0
1.0,0.0,11.233039,1.054321,7.802876075066487,11.105,11.251,12.539,0.72,0.0
1.0,0.0,9.804812,0.848298,0.0,10.503,10.967,12.237,1.03,238.0
1.0,0.0,14.535032,1.251745,15.0787,10.047,10.056,11.256,0.59,249.0
1.0,1.0,9.498415,1.057588,18.4618,12.7786,12.952,14.0771,0.545,149.0
1.0,0.0,9.192379,0.979246,17.1388,12.217,12.811,13.4659,0.53,149.0
1.0,0.0,8.911643,0.937463,17.8451,12.1881,12.3193,13.4231,0.4982,269.0
1.0,0.0,10.473375,1.069822,16.8638,11.8696,12.7412,13.2033,0.6241,269.0
1.0,0.0,10.225777,1.03288,16.3261,11.7112,12.3827,13.0006,0.5831,237.0
1.0,1.0,11.206335,1.114362,17.5066,11.5614,11.7823,12.8534,0.6114,172.0
1.0,0.0,11.070794,1.073027,17.7385,11.3134,11.5107,12.7447,0.7461,0.0
1.0,0.0,15.384772,1.410083,14.5431,10.953,11.137,12.488,0.905,0.0
