Período,Ton.Azucar,%ATR,KATRHM,M3 Riego,Radiacion Solar Ciclo,Evaporacion 0-3,Evaporacion Ciclo
202203,120.697,14.4646,1485.258727,0.0,450.626,507.7,2619.6
202203,139.809,14.6948,1339.334783,0.0,429.016,436.3,2012.9
202203,192.149,13.7267,1526.193526,0.0,449.695,495.3,2248.2
202203,144.388,14.5876,1400.50844,408114.0,430.208,415.7,1900.3
202203,140.628,14.499,1429.207902,0.0,450.638,511.8,2635.4
202203,141.696,15.0941,1332.214026,0.0,429.038,435.3,2013.3
202203,74.478,12.7701,421.401687,0.0,421.621,423.3,2200.6
202203,157.953,14.0989,1569.160966,0.0,435.507,409.4,1956.4
202203,118.431,13.6553,1557.324101,0.0,449.645,496.1,2246.9
202203,329.43,14.2515,1407.851493,113562.0,436.029,416.9,2018.3
202203,357.126,13.3923,1607.839234,0.0,450.915,510.9,2382.4
202203,69.861,13.5684,1615.298257,0.0,434.456,433.0,2202.5
202203,272.753,13.8724,1613.920438,0.0,415.918,410.3,1922.5
202203,21.657,14.8211,1418.454887,0.0,450.199,509.1,2633.2
202203,159.455,14.5763,1362.476897,0.0,450.199,509.1,2633.2
202203,149.002,14.927,1386.878588,0.0,428.628,435.8,2011.5
202203,142.097,14.4694,1576.690772,0.0,435.271,431.5,2112.9
202203,282.62,15.4968,1450.999172,0.0,446.579,433.3,2200.5
202203,161.138,14.0798,1434.117853,78606.0,435.809,410.0,1798.2
202203,110.82,15.0437,1420.096172,0.0,450.393,511.9,2373.9
202203,182.213,14.237,1490.261298,0.0,428.347,433.9,1983.5
202203,498.341,14.2407,1461.491065,0.0,445.816,460.1,2287.0
202203,44.919,13.28,1260.573982,0.0,420.444,422.5,2150.3
202203,80.983,13.1739,1320.278346,40086.0,436.223,408.9,1786.4
202203,137.73,13.9038,1487.772324,0.0,428.458,433.0,1983.9
202203,282.797,14.239,1468.233965,0.0,446.423,433.3,2209.2
202203,294.149,13.5477,1483.811995,171691.75,446.458,424.6,1914.8
202203,284.791,14.2079,1706.509033,0.0,450.903,514.1,2430.8
202203,90.521,13.8769,1190.917685,0.0,445.524,424.8,1943.7
202203,53.61,13.6972,927.560731,0.0,444.525,419.5,2035.9
202203,154.306,12.9995,1185.49158,0.0,435.463,410.9,2006.8
202203,254.107,13.4247,1532.746269,178441.2,446.002,430.3,2182.2
202203,39.962,12.3768,1646.556428,0.0,449.346,491.5,2125.7
202203,124.48,14.0353,1505.367882,0.0,450.128,507.7,2647.3
202203,85.419,14.2705,2056.425281,0.0,445.275,424.6,1942.1
202203,63.273,13.59,1185.614509,0.0,445.492,422.1,1952.3
202203,109.475,13.420150826067003,1318.7037628891694,2764.8,419.501,461.6,1176.3
202203,86.021,12.782,1697.075541,0.0,444.512,422.2,1933.7
202203,129.451,13.401,1561.959972,0.0,449.703,491.9,2143.5
202204,0.0,13.420150826067003,1318.7037628891694,18303.0,425.241,432.5,1239.8
